number,group,image,audio,passage,question_text,o1,o2,o3,o4,correct,img_url,audio_url
82,part_4_80_82,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""404"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image44.png"" width=""505""/>
</p>
</div>","According to the speaker, what will happen next
                            week?",A budget will be reviewed,Interviews will begin,Airfares will increase,A system upgrade will occur,B,,
83,part_4_83_85,part_4_83_85.png,part_4_83_85.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image45.png"" width=""500""/>
</p>
</div>",What did the Newville Times recently do?,It printed advertisements in color,It reduced the subscription fee,It announced award winners,It merged with another newspaper,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_83_85.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_83_85.mp3
84,part_4_83_85,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image45.png"" width=""500""/>
</p>
</div>","What does the speaker imply when he says,",A branch location will be built.,Competition for customers will increase.,More people will move to the area.,Road traffic will worsen.,B,,
85,part_4_83_85,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image45.png"" width=""500""/>
</p>
</div>",What has the business bought recently?,Vehicles,Cleaning equipment,Office furniture,Computers,A,,
86,part_4_86_88,part_4_86_88.png,part_4_86_88.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""445"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image46.png"" width=""505""/>
</p>
</div>",What is Connectivity 3.0?,A videoconferencing application,A new brand of smartphone,A store security system,An Internet service provider,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_86_88.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_86_88.mp3
87,part_4_86_88,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""445"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image46.png"" width=""505""/>
</p>
</div>","What does the speaker mean when he says, ""Aren't
                            there better ways to use your time""?",A staff member should join a team,Other systems are not as efficient,Employees need more training,Business hours should be shortened,A,,
88,part_4_86_88,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""445"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image46.png"" width=""505""/>
</p>
</div>","What does the speaker say listeners can do on a Web
                            site?",View a demonstration,Sign up for updates,Register a product,Make a purchase,A,,
89,part_4_89_91,part_4_89_91.png,part_4_89_91.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""435"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image47.png"" width=""513""/>
</p>
</div>","According to the speaker, what will be changing at
                            the company?",How customer complaints are handled,How purchase orders are submitted,How workers' hours are scheduled,How merchandise is tracked,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_89_91.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_89_91.mp3
90,part_4_89_91,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""435"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image47.png"" width=""513""/>
</p>
</div>","What will the company be able to do for
                            customers?",Lower prices,Offer more products,Reduce delivery times,Extend store hours,C,,
91,part_4_89_91,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""435"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image47.png"" width=""513""/>
</p>
</div>",What will Ms. Han be doing?,Testing equipment,Training employees,Conducting a survey,Checking inventory,B,,
92,part_4_92_94,part_4_92_94.png,part_4_92_94.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""439"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image48.png"" width=""507""/>
</p>
</div>",Who most likely is the speaker?,An architect,A contractor,A real estate agent,A financial consultant,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_92_94.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_92_94.mp3
93,part_4_92_94,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""439"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image48.png"" width=""507""/>
</p>
</div>",What does the speaker say is a problem?,Some staff have not been trained,An office is difficult to find,A project might not be completed on time,A price is higher than requested,D,,
94,part_4_92_94,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""439"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image48.png"" width=""507""/>
</p>
</div>",What does the speaker ask the listener to do?,Return the call promptly,Review a document carefully,Submit a deposit,Provide a reference,A,,
95,part_4_95_97,part_4_95_97_1.jpg part_4_95_97_2.png,part_4_95_97.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image49.png"" width=""507""/>
</p>
</div>","Look at the graphic. Which ice-cream flavor will be
                            discounted this week?",Pecan,Mocha,Peach,Fudge,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_95_97_1.jpg https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_95_97_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_95_97.mp3
96,part_4_95_97,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image49.png"" width=""507""/>
</p>
</div>",Why does the speaker thank Tomas?,He developed new ice-cream flavors,He submitted an order.,He worked extra hours,He proposed a sales promotion,D,,
97,part_4_95_97,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""371"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image49.png"" width=""507""/>
</p>
</div>","What does the speaker remind the listeners to
                            do?",Sign up for a task,Put away supplies,Count customer votes,Make some suggestions,D,,
98,part_4_98_100,part_4_98_100_1.jpg part_4_98_100_2.png,part_4_98_100.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""476"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image50.png"" width=""505""/>
</p>
</div>",Where does the speaker most likely work?,At a financial institution,At a lighting fixture store,At a utility company,At a library,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_98_100_1.jpg https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_98_100_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_98_100.mp3
99,part_4_98_100,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""476"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image50.png"" width=""505""/>
</p>
</div>","Look at the graphic. How much is the listener's
                            late fee?",$7.50 ,$15.00 ,$22.50 ,$30.00 ,B,,
100,part_4_98_100,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""476"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image50.png"" width=""505""/>
</p>
</div>","What must the listener provide to sign up for a
                            service?",Some contact information,Some payment details,An invoice number,An identification card,B,,
101,part_5_1,,,"<div class=""alert alert-warning"">
<p>
                          Should the customer believe that the  proposed color
                          scheme is not _____, the interior designer can make
                          adjustment.
                        </p>
</div>","Should the customer believe that the  proposed color
                          scheme is not _____, the interior designer can make
                          adjustment.",attract,attractive,attracted,attractively,B,,
101,part_5_2,,,"<div class=""alert alert-warning"">
<p>
                          For Friday's dinner reservation, please_____the number
                          of seats from eight to ten guests
                        </p>
</div>","For Friday's dinner reservation, please_____the number
                          of seats from eight to ten guests",increase,reflect,merge,invite,A,,
101,part_5_3,,,"<div class=""alert alert-warning"">
<p>
                          Mr.Brandt asked for the banner to be hung _____ the
                          exterior wall of the building. 
                        </p>
</div>","Mr.Brandt asked for the banner to be hung _____ the
                          exterior wall of the building.",up,next,on,with,C,,
101,part_5_4,,,"<div class=""alert alert-warning"">
<p>
                          In case you have problems with the device in the
                          future, you should retain your newly _____ receipt.
                        </p>
</div>","In case you have problems with the device in the
                          future, you should retain your newly _____ receipt.",expressed,predicted,issued ,approached ,C,,
101,part_5_5,,,"<div class=""alert alert-warning"">
<p>
                          If the patient's nasal problem does not show signal of
                          improvement _____ two days, he should visit the clinic
                          again. 
                        </p>
</div>","If the patient's nasal problem does not show signal of
                          improvement _____ two days, he should visit the clinic
                          again.",because of,regarding,apart from,within ,D,,
101,part_5_6,,,"<div class=""alert alert-warning"">
<p>
                          Those giving demonstrations at the department store
                          _____ explained the product's features and benefits.
                        </p>
</div>","Those giving demonstrations at the department store
                          _____ explained the product's features and benefits.",enthusiasm,enthusiast,enthusiastically,enthusiastic,C,,
101,part_5_7,,,"<div class=""alert alert-warning"">
<p>
                          Because its lastest exhibit is highly valuable, the
                          Gabe Gallery took more precautions than it _____ did
                          in the past. 
                        </p>
</div>","Because its lastest exhibit is highly valuable, the
                          Gabe Gallery took more precautions than it _____ did
                          in the past.",ever,yet,such,much,A,,
101,part_5_8,,,"<div class=""alert alert-warning"">
<p>
                          _____ making structural changes to a house must first
                          apply for a building permit. 
                        </p>
</div>","_____ making structural changes to a house must first
                          apply for a building permit.",Our,Who,Them,Anyone,D,,
101,part_5_9,,,"<div class=""alert alert-warning"">
<p>
                          Employees who attend the workshop on improving
                          communication skills will be given a certificate of
                          _____ by the instructor. 
                        </p>
</div>","Employees who attend the workshop on improving
                          communication skills will be given a certificate of
                          _____ by the instructor.",achieved ,achieving,achieve,achievement,D,,
101,part_5_10,,,"<div class=""alert alert-warning"">
<p>
                          _____ its distinguished faculty in the science
                          department, the university has state-of-the-art
                          laboratory facilities. 
                        </p>
</div>","_____ its distinguished faculty in the science
                          department, the university has state-of-the-art
                          laboratory facilities.",In addition to ,Otherwise,As well,Hardly ever,A,,
101,part_5_11,,,"<div class=""alert alert-warning"">
<p>
                          The donations received from the fundraiser ______
                          among the charity's three locations equally. 
                        </p>
</div>","The donations received from the fundraiser ______
                          among the charity's three locations equally.",have divided ,is being divided ,are dividing,will be divided,D,,
101,part_5_12,,,"<div class=""alert alert-warning"">
<p>
                          _____ the building's age, the ventilation system must
                          be up-to-date with all safety codes. 
                        </p>
</div>","_____ the building's age, the ventilation system must
                          be up-to-date with all safety codes.",Instead of ,Toward,Regardless of ,Since,C,,
101,part_5_13,,,"<div class=""alert alert-warning"">
<p>
                          The train delays on the Trenton line were cause by a
                          _____ error at one of the stations.
                        </p>
</div>","The train delays on the Trenton line were cause by a
                          _____ error at one of the stations.",proceed,proceeded,procedural,procedurally,C,,
101,part_5_14,,,"<div class=""alert alert-warning"">
<p>
                          As we expect to receive hundreds of applications for
                          the position, please _____ your resume to two pages. 
                        </p>
</div>","As we expect to receive hundreds of applications for
                          the position, please _____ your resume to two pages.",limit,follow,refrain,unfold,A,,
101,part_5_15,,,"<div class=""alert alert-warning"">
<p>
                          The lecturer _____ on the country's struggle for
                          independence when he gives his talk. 
                        </p>
</div>","The lecturer _____ on the country's struggle for
                          independence when he gives his talk.",has focused,is focused,will focus,focusing,C,,
101,part_5_16,,,"<div class=""alert alert-warning"">
<p>
                          The welcome activity is an opportunity to improve
                          communication _____ volunteers before the project
                          begins.
                        </p>
</div>","The welcome activity is an opportunity to improve
                          communication _____ volunteers before the project
                          begins.",among,like,above,under,A,,
101,part_5_17,,,"<div class=""alert alert-warning"">
<p>
                          The balconies connected to the rooms at the Orwell
                          Hotel provide a _____ view of a private beach. 
                        </p>
</div>","The balconies connected to the rooms at the Orwell
                          Hotel provide a _____ view of a private beach.",stunningly,stuns,stunning,stunned,C,,
101,part_5_18,,,"<div class=""alert alert-warning"">
<p>
                          The travel agent's _____ of the ticket purchase was
                          sent to the customer by e-mail as soon as the payment
                          was made. 
                        </p>
</div>","The travel agent's _____ of the ticket purchase was
                          sent to the customer by e-mail as soon as the payment
                          was made.",extent,confirmation,awarerness,proposal ,B,,
101,part_5_19,,,"<div class=""alert alert-warning"">
<p>
                          After examining the vehicle, the mechanic had _____
                          identified the reason why the engine lost power. 
                        </p>
</div>","After examining the vehicle, the mechanic had _____
                          identified the reason why the engine lost power.",corrections,correctly,correct,corrects,B,,
101,part_5_20,,,"<div class=""alert alert-warning"">
<p>
                          Because of her hearing disability, Ms.Frasier will be
                          _____ by a sign language expert so she can participate
                          in the meeting. 
                        </p>
</div>","Because of her hearing disability, Ms.Frasier will be
                          _____ by a sign language expert so she can participate
                          in the meeting.",convinced,anticipated,accompanied,cautioned,C,,
101,part_5_21,,,"<div class=""alert alert-warning"">
<p>
                          The project development team is partially responsible
                          for the selection and _____ of potential building
                          sites. 
                        </p>
</div>","The project development team is partially responsible
                          for the selection and _____ of potential building
                          sites.",appraisal,appraises,appraise,appraised ,A,,
101,part_5_22,,,"<div class=""alert alert-warning"">
<p>
                          The easy-to-prepare meal packets come with all the
                          ingredients necessary for an individual dinner _____
                          boiling water. 
                        </p>
</div>","The easy-to-prepare meal packets come with all the
                          ingredients necessary for an individual dinner _____
                          boiling water.",except ,despite,elsewhere,past,A,,
101,part_5_23,,,"<div class=""alert alert-warning"">
<p>
                          The education center provides training classes in key
                          skills _____ that the unemployed can find jobs more
                          easily. 
                        </p>
</div>","The education center provides training classes in key
                          skills _____ that the unemployed can find jobs more
                          easily.",so,ever,only,as,A,,
101,part_5_24,,,"<div class=""alert alert-warning"">
<p>
                          The terms of the licensing agreement are quite ______
                          and do not require legal experience to be understood. 
                        </p>
</div>","The terms of the licensing agreement are quite ______
                          and do not require legal experience to be understood.",energetic,frequent,straightforward,accomplished,C,,
101,part_5_25,,,"<div class=""alert alert-warning"">
<p>
                          The informational materials sent to conference
                          attendees ______ the presentation schedule and social
                          events. 
                        </p>
</div>","The informational materials sent to conference
                          attendees ______ the presentation schedule and social
                          events.",expand,solicit,allow ,outline,D,,
101,part_5_26,,,"<div class=""alert alert-warning"">
<p>
                          You may have the merchandise sent directly to your
                          home or pick it up in person at the store, _____ you
                          prefer.
                        </p>
</div>","You may have the merchandise sent directly to your
                          home or pick it up in person at the store, _____ you
                          prefer.",oth,whichever,everybody,another,B,,
101,part_5_27,,,"<div class=""alert alert-warning"">
<p>
                          ______ occurring substances are used in the vitamin
                          supplement instead of chemicals.
                        </p>
</div>","______ occurring substances are used in the vitamin
                          supplement instead of chemicals.",Naturally,Natural,Naturalize,Nature,A,,
101,part_5_28,,,"<div class=""alert alert-warning"">
<p>
                          The bus driver used a side street rather than the main
                          highway, ______ avoiding rush hour traffic.
                        </p>
</div>","The bus driver used a side street rather than the main
                          highway, ______ avoiding rush hour traffic.",such as,than,unless,thereby,D,,
101,part_5_29,,,"<div class=""alert alert-warning"">
<p>
                          The crew members _____ the main section of the
                          building by the time the waste removal trucks arrive
                          at 3:30.
                        </p>
</div>","The crew members _____ the main section of the
                          building by the time the waste removal trucks arrive
                          at 3:30.",demolish,will have demolished,demolished,had demolished ,B,,
101,part_5_30,,,"<div class=""alert alert-warning"">
<p>
                          Should you find any manufacturing ______ in your
                          ultra-high-definition television, contact the place of
                          purchase as soon as possible.
                        </p>
</div>","Should you find any manufacturing ______ in your
                          ultra-high-definition television, contact the place of
                          purchase as soon as possible.",premises,defects,impacts,distractions,B,,
131,part_6_131_134,,,"<div class=""alert alert-warning"">
<p>
                          Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!
                        </p>
</div>","Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!",excite,excited,exciting,excitement,C,,
132,part_6_131_134,,,"<div class=""alert alert-warning"">
<p>
                          Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!
                        </p>
</div>","Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!",their,his,our,your,D,,
133,part_6_131_134,,,"<div class=""alert alert-warning"">
<p>
                          Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!
                        </p>
</div>","Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!",The pools are the best place to stay.,We even have a dog park for that furry companion of yours.,The chefs are top notch and the food is second to none.,Hurry before the season is over and the promotion is finished.,B,,
134,part_6_131_134,,,"<div class=""alert alert-warning"">
<p>
                          Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!
                        </p>
</div>","Come visit Wild Water Parks, your summer destination
                          for family and friends of all ages. We have kiddie
                          pools, we have outdoor pools, we have indoor pools, we
                          have waves, and we have _____ (131) water slides,
                          including our Death Fall, the largest slide in the
                          state. We have everything for everyone in _____ (132)
                          group. Don't forget our delicious snack stands and
                          restaurants. We also have gift shops and playgrounds.
                          _____ (133) You can get tickets by calling 123-5555 or
                          a season's pass for a _____ (134) of the price. Call
                          now and experience the fun!",fraction,section,division,total,A,,
135,part_6_135_138,,,"<div class=""alert alert-warning"">
<p>Date: June 21</p>
<p>To: Mike Harris</p>
<p>From: Rhonda Cross</p>
<p>Subject: RE: Landscaping and Maintenance</p>
<p> </p>
<p>
                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        </p>
<p> </p>
<p>
                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)
                        </p>
</div>","Date: June 21
To: Mike Harris
From: Rhonda Cross
Subject: RE: Landscaping and Maintenance
 

                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        
 

                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)",submission,placement,review,inquiry,D,,
136,part_6_135_138,,,"<div class=""alert alert-warning"">
<p>Date: June 21</p>
<p>To: Mike Harris</p>
<p>From: Rhonda Cross</p>
<p>Subject: RE: Landscaping and Maintenance</p>
<p> </p>
<p>
                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        </p>
<p> </p>
<p>
                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)
                        </p>
</div>","Date: June 21
To: Mike Harris
From: Rhonda Cross
Subject: RE: Landscaping and Maintenance
 

                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        
 

                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)",over,around,until,through,A,,
137,part_6_135_138,,,"<div class=""alert alert-warning"">
<p>Date: June 21</p>
<p>To: Mike Harris</p>
<p>From: Rhonda Cross</p>
<p>Subject: RE: Landscaping and Maintenance</p>
<p> </p>
<p>
                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        </p>
<p> </p>
<p>
                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)
                        </p>
</div>","Date: June 21
To: Mike Harris
From: Rhonda Cross
Subject: RE: Landscaping and Maintenance
 

                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        
 

                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)",exist,existed,existing,exists,C,,
138,part_6_135_138,,,"<div class=""alert alert-warning"">
<p>Date: June 21</p>
<p>To: Mike Harris</p>
<p>From: Rhonda Cross</p>
<p>Subject: RE: Landscaping and Maintenance</p>
<p> </p>
<p>
                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        </p>
<p> </p>
<p>
                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)
                        </p>
</div>","Date: June 21
To: Mike Harris
From: Rhonda Cross
Subject: RE: Landscaping and Maintenance
 

                          Thank you for your _____ (135) about our services.
                          Arbor Care is a green lawn care and landscaping
                          business. We only use environmentally friendly
                          techniques and products when caring for the grounds of
                          any business. We've been working in the Portland area
                          for _____ (136) 20 years. Currently, we are serving
                          more than 150 businesses in the downtown area. 
                        
 

                          As to your specific request, yes, we can easily remove
                          dead trees and replace them with something that fits
                          the ______ (137) landscaping. To give you an exact
                          quote, we would need to stop by and access the
                          situation in person. To have one of our garden
                          technicians stop by, please call us at (713) 678-9916.
                          _____ (138)",It is a pleasure doing business with you. ,We hope to hear from you soon. ,Please send us an email.,Best wishes for your continued success.,B,,
139,part_6_139_142,,,"<div class=""alert alert-warning"">
<p style=""text-align: center"">
<strong>Outbound Sales Lead Specialist/Telemarketer</strong>
</p>
<p style=""text-align: center"">Location: Atlanta, GA</p>
<p style=""text-align: center"">Job Code: 3766</p>
<p style=""text-align: center""># of opening: 4</p>
<p>
                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        </p>
<p>
                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        </p>
<p>
                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        </p>
<p>
                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below. 
                        </p>
</div>","Outbound Sales Lead Specialist/Telemarketer

Location: Atlanta, GA
Job Code: 3766
# of opening: 4

                          The Sales Lead Specialist will place outbound calls to
                          _____ (139) customers seeking to purchase various
                          services such as insurance, tax help, financial help,
                          telecommunications, or transportation. They will also
                          call on leaders from our existing customer base. Cold
                          calls are required. 
                        

                          You will work directly with customers via the
                          telephone and e-mail to describe products and services
                          in order to persuade potential and current customers
                          to purchase new products and services. The job will
                          also require you to educate customers on product and
                          service offerings. _____ (140) There is also a minimum
                          requirement for monthly sales that is set at $7,500 in
                          net revenue. _____ (141), the job calls for all
                          employees to continually be taking product education
                          course that will help you better serve our customers. 
                        

                          To be eligible for the position, you must have one or
                          more years in telesales, strong customer service
                          skills, and superior closing skills. 
                        

                          If you feel you _____ (142) these requirements and are
                          looking for a lucrative exciting experience, please
                          click below.",substantial,potential,optimal,logical,B,,
